,Common name,Family,IUCN,Order,Subspecies,BioSample,Bioproject accession,Captivity details,Coordinate notes,Country,County/District,Date collected,Elevation (masl),Genome Accession,Latitude,Longitude,Museum ID/Source specimen ID,SRA Accession,Sexb10k,Site,Source institution,State/Province,Tissue,CG content(%),"Complete BUSCOs (C, %)","Complete and duplicated BUSCOs (D, %)","Complete and single-copy BUSCOs (S, %)",Contig_L50 (bp),Contig_N50 (bp),Contig_Num,Depth,"Fragmented BUSCOs (F, %)",Gap_Len (bp),Gap_Ratio (%),"Missing BUSCOs (M, %)",Scaffold_L50 (bp),Scaffold_N50 (bp),Scaffold_Num (bp),Total_Len (bp),AssemblyAccession,AssemblyName,Organism,AssemblyStatus,Coverage,ContigN50,ScaffoldN50,Sex,Species,Complex_ZW,dnms
175,Red-billed Leiothrix,Leiothrichidae,Least Concern,Passeriformes,unable to determine,SAMN12253856,PRJNA545868,,,USA,Honolulu,31-Mar-10,,VXBY00000000,21.36 N,157.72 W,USNM:643454,"SRR9946923, SRR9946596, SRR9946597, SRR9946582",Male,"Waimanalo, Bellows Air Force Station","National Museum of Natural History, Smithsonian Institution, USA",Oahu Island,muscle,41.91,87.2,0.9,86.3,11292,23863,97923,70.0,7.1,53875678,5.09,5.7,915,297729,16987,1058776917,GCA_013400445.1,ASM1340044v1,Leiothrix lutea (red-billed leiothrix),Scaffold,70,27764.0,297511.0,male,Leiothrix_lutea,False,0
176,Blue-crowned Manakin,Pipridae,Least Concern,Passeriformes,carbonata,SAMN04274560,"PRJNA338288, PRJNA300662",,Coordinates taken from LSU sample collected in the same site,Peru,,,,GCA_001604755.1,,,LSUMZ:110521,SRP066281,Male,"1.5 km S Libertad, S. bank Rio Napo, 80 km N Iquitos","Independently published, NCBI",Loreto Department,missing,41.74,94.2,1.1,93.1,2807,112150,27068,61.0,3.4,22384553,2.07,2.4,70,4972619,4612,1079577334,GCF_001604755.1,Lepidothrix_coronata-1.0,Lepidothrix coronata (blue-crowned manakin),Scaffold,61,141849.0,4972619.0,male,Lepidothrix_coronata,False,0
177,Black Sunbird,Nectariniidae,Least Concern,Passeriformes,corinna,SAMN12253793,PRJNA545868,,,Papua New Guinea,,11-Feb-94,150,VXAX00000000,4.55 S,152.95 E,USNM:608697,"SRR9946546, SRR9946508, SRR9946728",Male,Weitin River Valley,"National Museum of Natural History, Smithsonian Institution, USA",New Ireland Province,muscle,41.85,93.9,1.1,92.8,6439,46009,100234,44.0,3.7,10108643,0.97,2.4,379,740066,33685,1038315696,GCA_013399835.1,ASM1339983v1,Leptocoma aspasia (birds),Scaffold,44,89252.0,743438.0,male,Leptocoma_aspasia,False,0
178,Cuckoo-roller,Leptosomidae,Least Concern,Leptosomatiformes,unable to determine,SAMN02333687,PRJNA212897,"Captive, hatched in captivity at Parc Botanique et Zoologique de Tsimbaz","Captive bird, hence no coordinates",,,,,GCA_000691785.1,,,,SRP029206,Male,,"Weltvogelpark, Germany",,blood,41.96,86.9,0.5,86.4,17786,19177,231570,32.0,9.3,3532975,0.31,3.8,5251,61823,148510,1148076042,GCF_000691785.1,ASM69178v1,Leptosomus discolor (cuckoo roller),Scaffold,32,24735.0,62640.0,male,Leptosomus_discolor,False,0
179,Bali Myna,Sturnidae,Critically Endangered,Passeriformes,monotypic,SAMN12253829,PRJNA545868,Captive,"Locality unknown, hence no coordinates",,,27-Aug-02,,VZTC00000000,,,USNM:631788,"SRR9946425, SRR9946426, SRR9946427",Female: Adult,,"National Museum of Natural History, Smithsonian Institution, USA",,muscle,41.36,93.1,0.9,92.2,5729,49984,112862,43.0,4.2,10318155,1.01,2.7,470,603117,43697,1022497748,GCA_013397325.1,ASM1339732v1,Leucopsar rothschildi (Bali myna),Scaffold,43,93565.0,605901.0,female,Leucopsar_rothschildi,False,0
180,Bar-tailed Godwit,Scolopacidae,Near Threatened,Charadriiformes,baueri,SAMN05417616,PRJNA321163,,,New Zealand,,2-Nov-12,0,LXVZ00000000.1,40.47 S,175.22 E,Y13581,SRX3420652-5,Female,Manawatu Estuary,"Cox Lab, Massey University",Manawatu,blood,41.82,63.1,0.5,62.6,16533,12357,187323,71.0,15.3,174590800,15.28,21.6,1114,208760,28514,1142901983,GCA_002844005.1,Godwit_v1,Limosa lapponica baueri (bar-tailed godwit),Scaffold,71,21257.0,283007.0,pooled male and female,Limosa_lapponica,False,0
181,Middendorff's Warbler,Locustellidae,Least Concern,Passeriformes,unable to determine,SAMN12253834,PRJNA545868,,"Original coordinates appear wrong. Likely mixup: west, which should be east. Original coordinates: 35 53  N        126 38  W",Korea,,8-Oct-04,,VXBM00000000,35.88 N,126.63 E,USNM:633298,"SRR10019880, SRR10019900, SRR10019881, SRR9946986",Male,Kunsan Air Base,"National Museum of Natural History, Smithsonian Institution, USA",Jeollabuk,muscle,41.85,93.1,0.9,92.2,6032,49337,48077,93.0,4.1,17079540,1.64,2.8,421,661807,10759,1039565349,GCA_013400155.1,ASM1340015v1,Locustella ochotensis (Middendorff's grasshopper-warbler),Scaffold,93,58272.0,653738.0,male,Locustella_ochotensis,False,0
182,White-rumped Munia,Estrildidae,Least Concern,Passeriformes,swinhoei,SAMN11521339,"PRJNA391487, PRJNA369279",Captive,"Captive bird, hence no coordinates",,,2014-2006,,GCA_002197715.1,,,,"<a href=""https://www.ncbi.nlm.nih.gov/sra/undefined"" target=""_blank"">undefined</a>",,,"Independently published, NCBI",,blood,41.59,94.7,1.4,93.3,3952,75189,39839,142.0,3.2,31160140,2.94,2.1,103,2953339,3014,1060169706,GCF_002197715.1,LonStrDom1,Lonchura striata domestica (Bengalese finch),Scaffold,142,100439.0,2953339.0,,Lonchura_striata,False,0
183,Red-crested Bustard,Otididae,Least Concern,Otidiformes,monotypic,SAMN12253761,PRJNA545868,,,South Africa,,2-Aug-00,,VWYV00000000,28.97 S,24.72 E,UWBM:95093,"SRR9994338, SRR9994339, SRR9994341",Male,"Vorstershoop, 10 km W","Burke Museum of Natural History, University of Washington, USA",Northwest Province,missing,41.86,94.1,0.8,93.3,6476,50196,42106,60.0,3.4,17722390,1.59,2.5,427,707612,4977,1111180309,GCA_013396455.1,ASM1339645v1,Lophotis ruficrista (birds),Scaffold,60,57900.0,702395.0,male,Lophotis_ruficrista,False,0
184,Red Crossbill,Fringillidae,Least Concern,Passeriformes,unable to determine,SAMN12253984,PRJNA545868,,,USA,Twin Falls County,12-Sep,,VZSM00000000,42.18 N,114.28 W,UWYMV:2860,"SRR9853720, SRR9853721, SRR9853848, SRR9853847",Male,Sawtooth National Forest,University of Wyoming Museum of Vertebrates,Idaho,muscle,42.12,95.1,1.0,94.1,3543,83782,101712,92.0,2.9,7841004,0.76,2.0,91,3107915,64453,1034651929,GCA_013398455.1,ASM1339845v1,Loxia curvirostra (birds),Scaffold,92,211346.0,3116274.0,male,Loxia_curvirostra,False,0
185,White-winged Crossbill,Fringillidae,Least Concern,Passeriformes,leucoptera,SAMN12253777,PRJNA545868,,,USA,Anchorage,6-Sep-00,,VWZM00000000,61.31 N,149.81 W,USNM:601821,"SRR10019956, SRR10019967, SRR10019980, SRR10019981",Female,"Elmendorf Air Force Base, Powerline Road","National Museum of Natural History, Smithsonian Institution, USA",Alaska,muscle,41.98,93.9,1.0,92.9,6014,47207,124568,50.0,3.5,8285632,0.8,2.6,459,612195,58467,1031963939,GCA_013396895.1,ASM1339689v1,Loxia leucoptera (white-winged crossbill),Scaffold,50,96290.0,614047.0,female,Loxia_leucoptera,False,0
186,Black-breasted Boatbill,Machaerirhynchidae,Least Concern,Passeriformes,harterti,SAMN12253945,PRJNA545868,,,Papua New Guinea,,7-Aug-87,,VZRQ00000000,9.23 S,148.00 E,NMV Z42332 / ANWC B26973,"SRR9946864, SRR9946862, SRR9946863, SRR9946865, SRR9946861",Female,"Giliageda Environs, Gulugawa Ridge S above Awoma, Mountain Camp",Museums Victoria / Australian National Wildlife Collection,Oro Province,heart,42.42,94.2,0.9,93.3,6475,45802,115420,44.0,3.6,9573369,0.91,2.2,297,996709,53113,1048924094,GCA_013397975.1,ASM1339797v1,Machaerirhynchus nigripectus (birds),Scaffold,44,76530.0,998129.0,female,Machaerirhynchus_nigripectus,False,0
187,Red-winged Fairywren,Maluridae,Least Concern,Passeriformes,monotypic,SAMN12253946,PRJNA545868,,,Australia,,5-Nov-89,,VZRP00000000,34.83 S,117.40 E,NMV Z3412 / NMV B18105,"SRR9947183, SRR9947184, SRR9947229, SRR9946860",Female,"Denbarker State Forest, 14km north of Denmark, Denmark-Mt Barker Rd",Museums Victoria,Western Australia,heart,41.9,92.5,0.9,91.6,7256,38727,140174,52.0,4.5,9854249,0.97,3.0,579,456005,73876,1018323335,GCA_013397995.1,ASM1339799v1,Malurus elegans (Red-winged fairywren),Scaffold,52,74070.0,458136.0,female,Malurus_elegans,False,0
188,Bearded Manakin,Pipridae,Least Concern,Passeriformes,vitellinus,SAMN02299332,PRJNA335611,,Coordinates approximate from locality information,Panama,,,,GCA_001715985.2,,,,"<a href=""https://www.ncbi.nlm.nih.gov/sra/undefined"" target=""_blank"">undefined</a>",Female,Gamboa,"University of California Los Angeles, USA",Colon,brain,42.05,91.4,2.4,89.0,1546,194129,29472,110.0,5.1,45187821,3.72,3.5,19,16643792,15315,1213150360,,,,,,,,,Manacus_manacus,False,0
189,Fan-tailed Berrypecker,Melanocharitidae,Least Concern,Passeriformes,maculiceps,SAMN12253939,PRJNA545868,,,Papua New Guinea,,2-Aug-87,,VZTG00000000,9.07 S,148.07 E,NMV Z44455 / NMV B19310,"SRR9946485, SRR9946414, SRR9946417, SRR9946486, SRR9946491",Unknown,"Tetebedi area, Awoma Ridge, Mountain Camp 1",Museums Victoria,Oro Province,liver,42.39,94.0,0.9,93.1,5408,54111,127754,54.0,3.8,7276672,0.7,2.2,323,846304,71586,1037045325,GCA_013397845.1,ASM1339784v1,Melanocharis versteri (Fan-tailed berrypecker),Scaffold,54,103752.0,854663.0,,Melanocharis_versteri,False,0
190,Wild Turkey,Phasianidae,Least Concern,Galliformes,,SAMN02981253,"PRJNA62397, PRJNA42129","Captive,  Nicholas Inbred","Captive bird, hence no coordinates",,,,,GCA_000146605.3,,,,"<a href=""https://www.ncbi.nlm.nih.gov/sra/undefined"" target=""_blank"">undefined</a>",Female,,"Nicholas Turkey Breeding Farms, USA",,blood,41.47,90.5,1.0,89.5,11556,26671,296040,35.0,5.4,35294427,3.13,4.1,6,59006440,231285,1128339136,GCF_000146605.2,Turkey_5.0,Meleagris gallopavo (turkey),Chromosome,35,26675.0,3801642.0,female,Meleagris_gallopavo,False,0
191,Budgerigar,Psittaculidae,Least Concern,Psittaciformes,monotypic,SAMEA1713774,PRJEB1588,Captive,"Captive bird, hence no coordinates",,,,,"<a href=""https://www.ncbi.nlm.nih.gov/nuccore/undefined"" target=""_blank"">undefined</a>",,,7-9#4,ERP002324,Male,,"Duke University Budgerigar colony, Duke University, USA",,blood,41.25,92.4,0.7,91.7,5507,55368,71450,160.0,4.4,30759247,2.75,3.2,28,10614387,25212,1117358947,,,,,,,,,Melopsittacus_undulatus,False,0
192,Song Sparrow,Emberizidae,Least Concern,Passeriformes,unable to determine,SAMN12253982,PRJNA545868,,,Canada,,15-Apr,0,VZSA00000000,48.63 N,123.28 W,243185379,"SRR9853704, SRR9853705, SRR9853706, SRR9853681, SRR9853682, SRR9853683, SRR9853684, SRR9853685, SRR9853686, SRR9853714, SRR9853716, SRR9853674, SRR9853675, SRR9853677, SRR9853678, SRR9853651, SRR9853652, SRR9853653, SRR9853654, SRR9853655, SRR9853656, SRR9853657, SRR9853658, SRR9853659, SRR9853660, SRR9853661, SRR9853662, SRR9853663, SRR9853664, SRR9853649, SRR9853650, SRR9853785, SRR9853810, SRR9853737, SRR9853738, SRR9853739, SRR9853740, SRR9853741, SRR9853742, SRR9853743, SRR9853744, SRR9853745, SRR9853746, SRR9853709, SRR9853710, SRR9853712, SRR9853713, SRR9853717, SRR9853718, SRR9853719, SRR9853757, SRR9853787, SRR9853788, SRR9853789, SRR9853790, SRR9853791, SRR9853792, SRR9853793, SRR9853794, SRR9853795, SRR9853798, SRR9853799, SRR9853800, SRR9853801, SRR9853802, SRR9853803, SRR9853804, SRR9853805, SRR9853806, SRR9853807, SRR9853811, SRR9853812, SRR9853813, SRR9853814, SRR9853816, SRR9853817, SRR9853818",Male,Mandarte Island,"University of British Columbia, Canada",British Columbia,blood,42.32,92.9,1.0,91.9,2256,135933,21134,368.0,4.5,2656214,0.25,2.6,32,9239070,6043,1061250996,GCA_013398205.1,ASM1339820v1,Melospiza melodia (song sparrow),Scaffold,368,181098.0,9239070.0,male,Melospiza_melodia,False,0
193,Superb Lyrebird,Menuridae,Least Concern,Passeriformes,edwardi,SAMN12253747,PRJNA545868,,Coordinates approximate from locality information,Australia,,10-Dec-00,,VWPS00000000,30.07 S,152.65 E,USNM:632118,"SRR9994305, SRR9994301, SRR9946798",Male,Cloud's Creek State Forest,"National Museum of Natural History, Smithsonian Institution, USA",New South Wales,muscle,41.91,95.1,1.1,94.0,4413,70620,32232,60.0,2.7,10107542,0.95,2.2,127,2362578,4041,1060482361,GCA_013396355.1,ASM1339635v1,Menura novaehollandiae (superb lyrebird),Scaffold,60,85461.0,2360993.0,male,Menura_novaehollandiae,False,0
194,Northern Carmine Bee-eater,Meropidae,Least Concern,Coraciiformes,monotypic,SAMN02338310,PRJNA212898,Captive,"Captive bird, hence no coordinates",,,8-Apr-11,,GCA_000691845.1,,,voucher NHMD:131347,SRP029278,Female,,"Copenhagen Zoo, Denmark",,blood,41.7,81.7,0.5,81.2,15702,20029,133783,37.0,12.6,6384307,0.6,5.7,6167,47847,54407,1066568727,GCF_000691845.1,ASM69184v1,Merops nubicus (carmine bee-eater),Scaffold,37,24675.0,48089.0,female,Merops_nubicus,False,0
195,Green Ibis,Threskiornithidae,Least Concern,Pelecaniformes,monotypic,SAMN12253800,PRJNA545868,,Coordinates approximate from locality information,Panama,,28-Apr-90,,VXAT00000000,9.08 N,81.85 W,USNM:613351,"SRR9947149, SRR9947150, SRR9947155",Female,"Quebrada Hido, Peninsula Valiente","National Museum of Natural History, Smithsonian Institution, USA",Bocas Del Toro,muscle,41.9,93.2,0.9,92.3,7182,46373,163202,40.0,4.2,8588674,0.71,2.6,669,478292,98463,1204019942,GCA_013399675.1,ASM1339967v1,Mesembrinibis cayennensis (birds),Scaffold,40,85098.0,482795.0,female,Mesembrinibis_cayennensis,False,0
196,Brown Mesite,Mesitornithidae,Vulnerable,Mesitornithiformes,monotypic,SAMN02339298,PRJNA212899,,,Madagascar,,8-Nov-89,,GCA_000695765.1,24 S,47.28 E,FMNH:345610,SRP029309,Female,"Fivondronana de Tolagnaro, Foret d'Analalava, 7 km N Manantenina","Field Museum of Natural History, USA",Toliara,muscle,41.45,83.9,0.6,83.3,17512,18696,236682,29.0,10.8,5410959,0.49,5.3,6684,46462,158046,1101046125,GCF_000695765.1,ASM69576v1,Mesitornis unicolor (brown roatelo),Scaffold,29,22740.0,47102.0,female,Mesitornis_unicolor,False,0
197,McConnell's Flycatcher,Pipromorphidae,Least Concern,Passeriformes,roraimae (?),SAMN12253879,PRJNA545868,,,Guyana,,15-Feb-07,1140,VYZC00000000,5.98 N,61.05 W,USNM:639118,"SRR9947042, SRR9947043, SRR9947044, SRR9947045",Female,"Paruima, ca. 19 km N, at Mt. Holitipu","National Museum of Natural History, Smithsonian Institution, USA",Cuyuni- Mazaruni,mixed tissue sample,41.93,94.1,0.9,93.2,4739,61519,38024,73.0,3.4,15558300,1.49,2.5,167,1649241,4538,1042003338,GCA_013397495.1,ASM1339749v1,Mionectes macconnelli (McConnell's flycatcher),Scaffold,73,72805.0,1646422.0,female,Mionectes_macconnelli,False,0
198,Yellowhead,Mohouidae,Endangered,Passeriformes,ochrocephala,SAMN12253963,PRJNA545868,,Coordinates approximate from locality information,New Zealand,,12-Mar-08,,VZTA00000000,45.58 S,166.64 E,MR-006 / 11-11-14 C,"SRR9947194, SRR9947055, SRR9947021",,Breaksea Island,"University of Otago, New Zealand",,blood,42.87,91.5,1.0,90.5,7017,40335,170769,35.0,5.1,11009487,1.05,3.4,1325,205272,105765,1046366822,GCA_013398855.1,ASM1339885v1,Mohoua ochrocephala (birds),Scaffold,35,54215.0,206785.0,,Mohoua_ochrocephala,False,0
199,Brown-headed Cowbird,Icteridae,Least Concern,Passeriformes,unable to determine,SAMN12254001,PRJNA545868,,,USA,Union County,23-Dec-11,1480,VZUF00000000,36.48 N,103.13 W,MSB:Bird:39518,SRR9853699,Female,"4 km E, 2.5 km N Clayton","Museum of Southwestern Biology, University of New Mexico, USA",New Mexico,muscle,42.83,91.7,1.2,90.5,3654,89121,196904,63.0,5.1,28823749,2.34,3.2,163,2048363,144362,1229226612,GCA_013401155.1,ASM1340115v1,Molothrus ater (birds),Scaffold,63,89160.0,1946625.0,female,Molothrus_ater,False,0
200,White Wagtail,Motacillidae,Least Concern,Passeriformes,alba,SAMN12253824,PRJNA545868,,,Iceland,,13-Aug-01,,VXBE00000000,64.03 N,22.57 W,USNM:627656,"SRR10019919, SRR10019920, SRR10019921",Female,"Keflavik, Naval Air Station","National Museum of Natural History, Smithsonian Institution, USA",,muscle,41.94,94.2,0.9,93.3,6797,43094,123605,50.0,3.6,11079595,1.06,2.2,410,680364,47283,1046466194,GCA_013397355.1,ASM1339735v1,Motacilla alba (white wagtail),Scaffold,50,87013.0,683060.0,female,Motacilla_alba,False,0
201,Velvet Myiagra,Monarchidae,Vulnerable,Passeriformes,eichorni,SAMN12253791,PRJNA545868,,,Papua New Guinea,,17-Jan-94,240,VWZQ00000000,4.45 S,152.93 E,USNM:608684,"SRR9946542, SRR9946543, SRR9946544",Female,Weitin River Valley,"National Museum of Natural History, Smithsonian Institution, USA",New Ireland Province,muscle,42.11,94.3,0.9,93.4,9016,33322,143338,46.0,3.4,11640326,1.1,2.3,350,826168,55333,1054381473,GCA_013397015.1,ASM1339701v1,Myiagra hebetior (birds),Scaffold,46,66181.0,831089.0,female,Myiagra_hebetior,False,0
202,Crossley's Vanga,Vangidae,Least Concern,Passeriformes,monotypic,SAMN12253876,PRJNA545868,,,Madagascar,Fivondronana de Tolagnaro,11-Aug-89,40,VYZQ00000000,24 S,47.28 E,FMNH:345860,"SRR9947163, SRR9946846",Male,"Fivondronana de Tolagnaro, Foret d'Analalava, 7 km N Manantenina","Field Museum of Natural History, USA",Toliara,missing,42.57,61.4,0.4,61.0,35764,6805,733196,45.0,16.5,108256840,9.47,22.1,8033,34921,438584,1143112041,GCA_013400655.1,ASM1340065v1,Mystacornis crossleyi (Crossley's babbler),Scaffold,45,10653.0,36392.0,male,Mystacornis_crossleyi,False,0
203,Double-crested Cormorant,Phalacrocoracidae,Least Concern,Pelecaniformes,auritus,SAMN06226698,PRJNA327123,,,USA,,8-May-15,,GCA_002173455.1,,,,SRP077532,Female: 15 days postembyronic development,,"Independently published, NCBI",Minnesota,embryo,42.55,94.9,1.5,93.4,10944,30878,126123,222.8,3.1,12138145,0.97,2.0,186,1990987,27523,1246050644,,,,,,,,,Nannopterum_auritus,False,0
204,Neotropic Cormorant,Phalacrocoracidae,Least Concern,Pelecaniformes,brasilianus,SAMN06832916,PRJNA327123,,,Chile,,10-Nov-14,,GCA_002174335.1,,,,SRP077532,Unknown: Adult,Naguilan river,"Independently published, NCBI",Valdivia,blood,42.54,84.5,1.6,82.9,33559,8905,524575,170.99,8.7,10984124,0.82,6.8,3071,86910,266364,1346185690,,,,,,,,,Nannopterum_brasilianus,False,0
205,Flightless Cormorant,Phalacrocoracidae,Vulnerable,Pelecaniformes,monotypic,SAMN05301669,PRJNA327123,,Coordinates approximate from locality information,Ecuador,,14-Mar-04,,GCA_002173475.1,,,,SRP077532,Male: Adult,"Punta Espinosa, Fernandina Island, Galapagos","Independently published, NCBI",,blood,42.46,95.5,1.1,94.4,5236,67789,46408,195.29,2.8,10601546,0.88,1.7,75,4648443,2651,1202994831,,,,,,,,,Nannopterum_harrisi,False,0
206,Sunbird Asity,Philepittidae,Least Concern,Passeriformes,monotypic,SAMN12253874,PRJNA545868,,,Madagascar,Fivondronana de Tolagnaro,25-Nov-89,750,VYZS00000000,24 S,46.8,FMNH:345711,"SRR9947211, SRR9947215, SRR9947221, SRR9947227, SRR9947280",Male,"Marosohy Forest, along Enakara-Antseva Trail, 15.5 km WNW Ranoma","Field Museum of Natural History, USA",Toliara,missing,41.66,46.9,0.2,46.7,46581,3832,1159276,46.0,16.9,170168725,15.6,36.2,14803,16160,821695,1090578492,GCA_013400695.1,ASM1340069v1,Neodrepanis coruscans (wattled asity),Scaffold,46,7054.0,18836.0,male,Neodrepanis_coruscans,False,0
207,Cinnamon Tyrant,Platyrinchidae,Least Concern,Passeriformes,helenae,SAMN12253882,PRJNA545868,,,Guyana,,16-Sep-97,125,VYZA00000000,7.37 N,60.48 W,USNM:586435,"SRR9946662, SRR9946663",Female,"Baramita, In Former North West Region","National Museum of Natural History, Smithsonian Institution, USA",Barima-Waini,mixed tissue sample,41.99,91.5,1.2,90.3,8741,32529,72874,72.0,4.4,24539478,2.35,4.1,493,496293,11127,1046035351,GCA_013397415.1,ASM1339741v1,Neopipo cinnamomea (birds),Scaffold,72,43146.0,485965.0,female,Neopipo_cinnamomea,False,0
208,Inaccessible Island finch,Thraupidae,Vulnerable,Passeriformes,acunhae,SAMN12254004,PRJNA545868,,,United Kingdom,,11-Sep,6,VZSU00000000,37.29 S,12.70 W,None,"SRR9853823, SRR9853671, SRR9853673, SRR9853819, SRR9853820, SRR9853821, SRR9853822",Female,Inaccessible Island,"Hansson lab, Lund University","Saint Helena, Ascension and Tristan da Cunha",muscle,42.01,91.1,1.0,90.1,11023,28161,124479,110.0,5.7,10808893,1.02,3.2,275,1018311,53184,1060124917,GCA_013398715.1,ASM1339871v1,Nesospiza acunhae (birds),Scaffold,110,38571.0,1027905.0,female,Nesospiza_acunhae,False,0
209,Kea,Strigopidae,Endangered,Psittaciformes,monotypic,SAMN02339299,PRJNA212900,Captive; Copenhagen Zoo,"Captive bird, hence no coordinates",,,25-May-10,,GCA_000696875.1,,,NHMD:131148,SRP029311,"Male, juvenile",,"Natural History Museum of Denmark, University of Copenhagen, Denmark",,muscle,41.19,87.7,0.6,87.1,15795,20134,171880,32.0,8.4,5945238,0.56,3.9,5002,60950,90285,1062026465,GCF_000696875.1,ASM69687v1,Nestor notabilis (Kea),Scaffold,32,26546.0,61475.0,male,Nestor_notabilis,False,0
210,Western Nicator,Nicatoridae,Least Concern,Passeriformes,monotypic,SAMN12253854,PRJNA545868,,,Gabon,,26-Oct-09,,WAAE00000000,2.87 S,10.12 E,USNM:642941,"SRR9946587, SRR9946588, SRR9946589, SRR9946729, SRR9946730",Female,"Gamba Complex of Protected Areas, Colas","National Museum of Natural History, Smithsonian Institution, USA",Ogooue Maritime Province,muscle,42.51,82.7,0.9,81.8,7524,34659,360991,78.0,7.9,4735418,0.45,9.4,2281,95495,326630,1063718601,GCA_013400495.1,ASM1340049v1,Nicator chloris (birds),Scaffold,78,56498.0,99492.0,female,Nicator_chloris,False,0
211,Imperial Crested Ibis,Threskiornithidae,Endangered,Pelecaniformes,monotypic,SAMN02596464,PRJNA232572,,Coordinates approximate from locality information,China,"Yangxian County, south Qinling Mountains",,,GCA_000708225.1,,,,SRP035852,Female,,Xi'an Jiaotong University,,blood,42.11,90.1,1.1,89.0,4941,67828,265723,105.0,6.0,34301313,2.7,3.9,5,72217672,220984,1272456081,GCF_000708225.1,ASM70822v1,Nipponia nippon (crested ibis),Scaffold,105,29116.0,5211696.0,female,Nipponia_nippon,False,0
212,Tawny-breasted Tinamou,Tinamidae,Least Concern,Tinamiformes,monotypic,SAMN12253972,PRJNA545868,,,Peru,Chontali,6-Jul-12,2625,VZSV00000000,5.58 S,79.16 W,MSB:Bird:42508,"SRR9947175, SRR9947176, SRR9947178, SRR9947179, SRR9947180, SRR9947182, SRR9947212, SRR9947177, SRR9947181, SRR9947347, SRR9946904, SRR9946905, SRR9946668, SRR9946669, SRR9946670, SRR9946671, SRR9946672, SRR9946673, SRR9946674, SRR9946675, SRR9946676, SRR9946677, SRR9946441",Female,ca. 2.8 km NW Agua Azul,"Museum of Southwestern Biology, University of New Mexico, USA",Cajamarca,missing,41.65,92.4,0.9,91.5,8714,32724,59384,77.0,4.7,41305340,4.05,2.9,65,4059565,4973,1019411353,GCA_013398735.1,ASM1339873v1,Nothocercus julius (birds),Scaffold,77,37646.0,4059565.0,female,Nothocercus_julius,False,0
213,Hooded Tinamou,Tinamidae,Vulnerable,Tinamiformes,nigrocapillus,SAMN12253973,PRJNA545868,,,Peru,Yanatile,20-Jun-10,2850,WBNA00000000,12.62 S,72.24 W,MSB:Bird:34621,"SRR9947174, SRR9947334, SRR9947231, SRR9947173, SRR9947330, SRR9947331, SRR9947335, SRR9947336, SRR9947337, SRR9946909, SRR9946911, SRR9947010, SRR9947011, SRR9947012, SRR9947013, SRR9947015, SRR9947016, SRR9947017, SRR9947018, SRR9947019, SRR9946521, SRR9946721, SRR9946792",Female,Abra Bella Vista,"Museum of Southwestern Biology, University of New Mexico, USA",Cusco,missing,41.63,91.7,1.0,90.7,10501,26881,69714,80.0,4.7,51850385,5.09,3.6,106,2648942,6434,1019618580,GCA_013398345.1,ASM1339834v1,Nothocercus nigrocapillus (birds),Scaffold,80,31010.0,2648942.0,female,Nothocercus_nigrocapillus,False,0
214,Ornate Tinamou,Tinamidae,Least Concern,Tinamiformes,branickii,SAMN12253974,PRJNA545868,,,Peru,Huarochiri,13-Sep-09,4150,VZSH00000000,11.77 S,76.53 W,MSB:Bird:33386,"SRR9853679, SRR9853680, SRR9853687, SRR9853688, SRR9853726, SRR9853711, SRR9853722, SRR9853723, SRR9853724, SRR9853725, SRR9853796, SRR9853797, SRR9853808, SRR9853809, SRR9853815, SRR9853643, SRR9853644, SRR9853645, SRR9853646, SRR9853647",Female,Potago,"Museum of Southwestern Biology, University of New Mexico, USA",Lima,missing,41.86,93.1,1.1,92.0,6907,39355,49406,85.0,4.4,34845426,3.56,2.5,77,3960636,4111,978297223,GCA_013398335.1,ASM1339833v1,Nothoprocta ornata (birds),Scaffold,85,47308.0,3788443.0,female,Nothoprocta_ornata,False,0
215,Andean Tinamou,Tinamidae,Least Concern,Tinamiformes,niethammeri,SAMN12253975,PRJNA545868,,,Peru,San Pedro de Casta,14-Nov-11,3177,VZSG00000000,11.76 S,76.60 W,MSB:Bird:35935,"SRR9853648, SRR9853768, SRR9853769, SRR9853770, SRR9853771, SRR9853772, SRR9853773, SRR9853774, SRR9853775, SRR9853776, SRR9853777, SRR9853839, SRR9853840, SRR9853841, SRR9853842, SRR9853843, SRR9853844, SRR9853846",Female,San Pedro de Casta,"Museum of Southwestern Biology, University of New Mexico, USA",Lima,missing,41.73,92.8,0.9,91.9,7281,37304,48271,94.0,4.4,44862263,4.56,2.8,247,1104275,5079,984676349,GCA_013398315.1,ASM1339831v1,Nothoprocta pentlandii (birds),Scaffold,94,45203.0,1104275.0,female,Nothoprocta_pentlandii,False,0
216,Chilean Tinamou,Tinamidae,Least Concern,Tinamiformes,domestica,SAMN08476459,PRJNA433110,Captive; farmed animal,"Captive bird, hence no coordinates",,,11-May-10,,PTEW00000000.1,,,ROM:Ctin4,SRP136769,Male,,"Royal Ontario Museum, Canada",,blood,42.04,90.7,1.1,89.6,3649,75737,27351,76.0,5.8,12206545,1.26,3.5,80,3369196,2294,965978015,GCF_003342845.1,notPer1,Nothoprocta perdicaria (birds),Scaffold,76.2,95599.0,3369196.0,male,Nothoprocta_perdicaria,False,0
